Área,Centróide,Pertence a borda,Perimetro,Circularidade,Intensidade média:,Intensidade modal:,Intensidade mediana:,Intensidade mínima:,Intensidade máxima:
4,"(1088.0,1191.0)",0,4,3.142,91.500,97,86,81,97
2,"(106.0,1194.0)",0,2,6.283,201.000,199,201,199,203
211,"(2.0,462.0)",1,60,0.737,47.090,23,26,16,98
1,"(32.0,434.0)",0,1,12.566,201.000,201,201,201,201
2955,"(1075.0,778.0)",0,246,0.614,79.511,74,81,59,98
2,"(1530.0,582.0)",0,2,6.283,92.000,91,92,91,93
13,"(1198.0,830.0)",0,13,0.967,89.692,82,85,82,98
3856,"(237.0,1147.0)",0,459,0.230,61.668,63,67,27,98
1,"(215.0,1160.0)",0,1,12.566,97.000,97,97,97,97
2065,"(1223.0,800.0)",0,205,0.617,55.275,44,68,32,98
6,"(1437.0,332.0)",0,6,2.094,204.500,206,206,201,207
4,"(802.0,621.0)",0,0,Infinity,95.250,93,95,93,98
9,"(933.0,1085.0)",0,9,1.396,80.667,77,65,65,98
1,"(1421.0,799.0)",0,1,12.566,96.000,96,96,96,96
3023,"(69.0,446.0)",0,290,0.452,62.301,48,64,18,98
2550,"(193.0,245.0)",0,357,0.251,55.207,54,59,19,98
2595,"(898.0,875.0)",0,244,0.548,38.800,21,34,12,98
1,"(799.0,643.0)",0,1,12.566,97.000,97,97,97,97
2992,"(414.0,816.0)",0,307,0.399,48.544,41,97,13,98
7,"(222.0,1165.0)",0,7,1.795,204.714,200,213,200,213
2226,"(1535.0,437.0)",0,210,0.634,44.061,32,33,22,98
9,"(1079.0,1188.0)",0,9,1.396,86.111,90,75,75,94
1,"(1440.0,329.0)",0,1,12.566,199.000,199,199,199,199
3,"(158.0,655.0)",0,3,4.189,93.333,87,87,87,98
1,"(76.0,400.0)",0,1,12.566,204.000,204,204,204,204
9,"(78.0,411.0)",0,9,1.396,204.667,206,205,201,208
2953,"(111.0,396.0)",0,289,0.444,60.964,47,55,20,98
1,"(802.0,645.0)",0,1,12.566,97.000,97,97,97,97
99,"(1188.0,1143.0)",0,98,0.130,20.121,12,97,4,97
2,"(64.0,535.0)",0,2,6.283,202.000,201,202,201,203
53,"(1143.0,897.0)",0,0,Infinity,83.000,71,85,57,98
15,"(1531.0,585.0)",0,15,0.838,89.800,95,98,76,98
86,"(1151.0,1143.0)",0,52,0.400,27.640,7,15,4,97
7530,"(1408.0,311.0)",0,722,0.182,50.760,32,91,10,98
2793,"(1035.0,56.0)",0,307,0.372,64.401,46,55,25,98
1850,"(1145.0,893.0)",0,268,0.324,66.335,72,49,30,98
2,"(103.0,1198.0)",1,2,6.283,204.500,200,204,200,209
10,"(1187.0,828.0)",0,10,1.257,89.900,94,91,74,98
2,"(1470.0,810.0)",0,2,6.283,201.500,199,201,199,204
2545,"(946.0,252.0)",0,256,0.488,58.748,66,23,18,98
13,"(737.0,835.0)",0,12,1.134,74.923,65,65,55,93
