Área,Centróide,Pertence a borda,Perimetro,Circularidade,Intensidade média:,Intensidade modal:,Intensidade mediana:,Intensidade mínima:,Intensidade máxima:
1,"(34.0,432.0)",0,1,12.566,202.000,202,202,202,202
2127,"(1145.0,893.0)",0,272,0.361,70.148,72,80,30,105
2,"(1120.0,910.0)",0,2,6.283,199.000,199,199,199,199
64,"(1152.0,891.0)",0,0,Infinity,90.391,104,80,68,105
11,"(78.0,411.0)",0,10,1.382,203.182,206,205,196,208
10,"(329.0,771.0)",0,10,1.257,102.700,104,103,99,105
8,"(222.0,1165.0)",0,8,1.571,203.875,200,209,198,213
587,"(130.0,1192.0)",1,83,1.071,39.080,20,26,18,197
1,"(365.0,789.0)",0,1,12.566,104.000,104,104,104,104
2,"(98.0,498.0)",0,2,6.283,196.000,196,196,196,196
1588,"(818.0,624.0)",0,258,0.300,70.105,59,59,34,105
1,"(1451.0,447.0)",0,1,12.566,103.000,103,103,103,103
9,"(168.0,248.0)",0,9,1.396,199.000,196,198,196,205
3,"(822.0,633.0)",0,0,Infinity,98.333,95,95,95,102
1,"(1438.0,282.0)",0,1,12.566,196.000,196,196,196,196
4,"(1470.0,810.0)",0,4,3.142,198.750,196,200,196,204
1,"(1539.0,409.0)",0,1,12.566,196.000,196,196,196,196
2992,"(722.0,634.0)",0,245,0.626,55.864,41,48,32,105
5,"(201.0,1143.0)",0,5,2.513,198.400,196,201,196,201
7,"(97.0,361.0)",0,7,1.795,204.143,196,210,196,210
2770,"(776.0,289.0)",0,261,0.511,46.414,28,31,21,105
6,"(158.0,655.0)",0,6,2.094,97.833,103,95,87,103
24,"(1531.0,585.0)",0,22,0.623,93.625,95,90,76,105
3074,"(414.0,816.0)",0,295,0.444,49.965,41,69,13,105
91,"(1150.0,1143.0)",0,52,0.423,31.637,7,100,4,103
2193,"(470.0,502.0)",0,259,0.411,58.456,38,59,17,105
1,"(32.0,434.0)",0,1,12.566,201.000,201,201,201,201
2,"(63.0,521.0)",0,2,6.283,197.000,197,197,197,197
3,"(132.0,511.0)",0,3,4.189,102.667,101,103,101,104
2,"(1383.0,240.0)",0,2,6.283,198.000,197,198,197,199
44,"(1125.0,1141.0)",0,44,0.286,16.591,7,7,4,96
2910,"(1067.0,114.0)",0,326,0.344,63.665,61,78,19,105
4,"(814.0,627.0)",0,0,Infinity,99.500,101,98,95,101
10,"(1020.0,825.0)",0,10,1.257,99.700,100,100,91,105
2651,"(40.0,133.0)",0,259,0.497,50.380,32,25,18,105
2098,"(1223.0,801.0)",0,206,0.621,56.019,44,52,32,105
3,"(76.0,399.0)",0,3,4.189,199.667,197,204,197,204
2440,"(1133.0,193.0)",0,236,0.551,59.626,50,63,23,105
3,"(1210.0,303.0)",0,3,4.189,101.333,99,105,99,105
29,"(382.0,50.0)",0,21,0.826,65.483,34,95,32,105
217,"(2.0,462.0)",1,61,0.733,48.604,23,21,16,105
2573,"(93.0,528.0)",0,242,0.552,63.977,33,52,18,105
10,"(933.0,1085.0)",0,10,1.257,83.100,77,65,65,105
1,"(1212.0,506.0)",0,1,12.566,101.000,101,101,101,101
2688,"(187.0,673.0)",0,365,0.254,72.001,73,83,21,105
12,"(1407.0,1150.0)",0,10,1.508,80.667,56,74,56,98
6,"(105.0,1194.0)",0,6,2.094,199.167,196,203,196,204
1313,"(726.0,791.0)",0,201,0.408,89.013,104,96,59,105
1,"(135.0,513.0)",0,1,12.566,103.000,103,103,103,103
9,"(800.0,644.0)",0,9,1.396,101.556,103,101,97,105
2694,"(193.0,246.0)",0,365,0.254,57.698,54,90,19,105
1,"(387.0,838.0)",0,1,12.566,196.000,196,196,196,196
2,"(1411.0,1126.0)",0,2,6.283,102.000,101,102,101,103
3,"(63.0,535.0)",0,3,4.189,200.333,197,203,197,203
3,"(1366.0,243.0)",0,3,4.189,201.000,196,202,196,205
36,"(1194.0,829.0)",0,36,0.349,94.083,101,91,74,105
1,"(917.0,1080.0)",0,1,12.566,103.000,103,103,103,103
10,"(1438.0,331.0)",0,10,1.257,201.600,197,205,196,207
2254,"(1535.0,437.0)",0,210,0.642,44.775,32,40,22,105
4,"(1456.0,449.0)",0,4,3.142,100.250,97,97,97,105
100,"(1188.0,1143.0)",0,99,0.128,20.930,12,55,4,101
34,"(551.0,644.0)",0,34,0.370,90.206,89,94,75,105
13,"(737.0,835.0)",0,12,1.134,74.923,65,65,55,93
4,"(1330.0,44.0)",0,4,3.142,96.750,91,100,91,103
3047,"(1075.0,778.0)",0,246,0.633,80.166,74,70,59,105
3,"(824.0,641.0)",0,0,Infinity,101.333,100,100,100,104
6249,"(90.0,421.0)",0,569,0.243,63.402,56,105,18,105
5,"(725.0,815.0)",0,5,2.513,104.200,104,103,103,105
2845,"(845.0,325.0)",0,237,0.636,67.867,56,63,47,105
952,"(1167.0,1110.0)",0,952,0.013,7.597,8,7,5,20
7731,"(1408.0,311.0)",0,715,0.190,52.088,32,62,10,105
3,"(103.0,1198.0)",1,3,4.189,202.000,197,200,197,209
2648,"(898.0,875.0)",0,245,0.554,40.057,21,47,12,105
1,"(153.0,668.0)",0,1,12.566,105.000,105,105,105,105
11,"(1080.0,1188.0)",0,10,1.382,88.818,90,90,75,102
4,"(1459.0,798.0)",0,4,3.142,199.250,200,200,197,200
2605,"(946.0,252.0)",0,250,0.524,59.734,66,20,18,105
2951,"(1035.0,56.0)",0,288,0.447,66.403,46,94,25,105
5,"(1088.0,1192.0)",0,5,2.513,93.200,97,81,81,100
2636,"(1440.0,826.0)",0,351,0.269,69.763,68,88,23,105
4033,"(237.0,1148.0)",0,432,0.272,63.427,63,65,27,105
90,"(1138.0,1142.0)",0,52,0.418,30.456,5,52,3,105
2,"(829.0,624.0)",0,0,Infinity,104.500,104,104,104,105
63,"(1171.0,1145.0)",0,62,0.206,17.190,11,37,4,95
6,"(803.0,621.0)",0,0,Infinity,96.833,93,93,93,101
