Área,Centróide,Pertence a borda,Perimetro,Circularidade,Intensidade média:,Intensidade modal:,Intensidade mediana:,Intensidade mínima:,Intensidade máxima:
12,"(97.0,400.0)",0,11,1.246,50.583,49,51,42,55
17,"(1167.0,914.0)",0,15,0.949,43.529,33,33,31,54
73,"(1136.0,912.0)",0,50,0.367,47.932,51,49,36,55
15,"(973.0,260.0)",0,15,0.838,51.933,53,52,49,55
145,"(1070.0,115.0)",0,81,0.278,42.034,32,52,27,55
5,"(69.0,452.0)",0,5,2.513,52.600,53,53,50,55
1,"(1031.0,25.0)",0,1,12.566,49.000,49,49,49,49
1,"(178.0,643.0)",0,1,12.566,55.000,55,55,55,55
1,"(968.0,256.0)",0,1,12.566,53.000,53,53,53,53
1,"(799.0,631.0)",0,1,12.566,54.000,54,54,54,54
2,"(76.0,507.0)",0,2,6.283,52.000,51,52,51,53
5,"(845.0,311.0)",0,5,2.513,53.800,55,54,52,55
9,"(100.0,439.0)",0,9,1.396,51.222,54,46,46,55
12,"(232.0,1139.0)",0,12,1.047,54.333,55,54,53,55
14,"(1044.0,81.0)",0,14,0.898,50.500,53,44,43,55
6,"(1064.0,59.0)",0,6,2.094,50.833,55,53,44,55
7,"(1447.0,809.0)",0,7,1.795,50.714,44,46,44,55
42,"(169.0,687.0)",0,31,0.549,44.000,43,42,33,55
12,"(812.0,601.0)",0,12,1.047,51.917,54,50,48,54
4,"(1039.0,86.0)",0,4,3.142,52.750,51,51,51,55
1157,"(1135.0,194.0)",0,313,0.148,42.976,50,53,23,55
4,"(838.0,339.0)",0,4,3.142,55.000,55,55,55,55
573,"(473.0,514.0)",0,250,0.115,39.311,38,45,19,55
1,"(1241.0,816.0)",0,1,12.566,55.000,55,55,55,55
1,"(695.0,632.0)",0,1,12.566,50.000,50,50,50,50
1,"(278.0,1173.0)",0,1,12.566,54.000,54,54,54,54
11,"(1045.0,118.0)",0,11,1.142,49.818,45,48,45,54
40,"(1459.0,840.0)",0,32,0.491,44.900,40,45,33,55
14,"(203.0,681.0)",0,14,0.898,53.786,55,53,51,55
1,"(96.0,382.0)",0,1,12.566,53.000,53,53,53,53
