Área,Centróide,Pertence a borda,Perimetro,Circularidade,Intensidade média:,Intensidade modal:,Intensidade mediana:,Intensidade mínima:,Intensidade máxima:
5,"(98.0,497.0)",0,5,2.513,190.400,196,196,185,196
3,"(1128.0,919.0)",0,3,4.189,186.000,185,188,185,188
6,"(379.0,813.0)",0,6,2.094,187.500,185,187,185,191
2,"(162.0,228.0)",0,2,6.283,185.000,185,185,185,185
1,"(824.0,592.0)",0,1,12.566,185.000,185,185,185,185
8,"(72.0,502.0)",0,8,1.571,188.375,185,189,185,191
17,"(1364.0,244.0)",0,17,0.739,191.529,187,190,185,205
5,"(79.0,371.0)",0,5,2.513,189.800,190,190,186,195
2,"(871.0,856.0)",0,2,6.283,187.000,185,187,185,189
5,"(1330.0,43.0)",0,5,2.513,99.200,91,103,91,109
1,"(1178.0,888.0)",0,1,12.566,187.000,187,187,187,187
2,"(38.0,96.0)",0,2,6.283,187.500,186,187,186,189
3,"(1455.0,376.0)",0,3,4.189,188.667,185,189,185,192
3119,"(414.0,816.0)",0,295,0.450,50.798,41,98,13,109
2,"(1112.0,888.0)",0,2,6.283,187.000,186,187,186,188
6,"(1171.0,877.0)",0,6,2.094,187.000,185,186,185,189
2,"(75.0,556.0)",0,2,6.283,187.000,186,187,186,188
1,"(444.0,515.0)",0,1,12.566,109.000,109,109,109,109
1,"(42.0,96.0)",0,1,12.566,187.000,187,187,187,187
8,"(75.0,379.0)",0,8,1.571,187.500,185,188,185,192
3027,"(722.0,634.0)",0,246,0.629,56.461,41,47,32,109
2,"(24.0,102.0)",0,2,6.283,185.500,185,185,185,186
2478,"(1133.0,193.0)",0,236,0.559,60.361,50,80,23,109
92,"(1138.0,1143.0)",0,52,0.428,32.163,5,59,3,109
2,"(76.0,406.0)",0,2,6.283,185.500,185,185,185,186
4,"(1115.0,901.0)",0,4,3.142,185.250,185,185,185,186
11,"(33.0,432.0)",0,10,1.382,192.727,191,191,185,202
2,"(197.0,1112.0)",0,2,6.283,187.000,186,187,186,188
5,"(73.0,393.0)",0,5,2.513,187.600,185,189,185,191
2295,"(1535.0,437.0)",0,237,0.513,46.784,32,39,22,196
8,"(1000.0,56.0)",0,8,1.571,186.625,185,190,185,192
9,"(103.0,359.0)",0,9,1.396,189.111,187,188,186,193
14,"(96.0,361.0)",0,14,0.898,196.786,192,194,185,210
7,"(822.0,633.0)",0,0,Infinity,103.429,106,106,95,109
7,"(86.0,364.0)",0,7,1.795,188.714,187,187,187,192
12,"(1021.0,825.0)",0,12,1.047,100.917,100,97,91,107
1,"(249.0,1142.0)",0,1,12.566,190.000,190,190,190,190
7,"(1442.0,861.0)",0,7,1.795,187.000,187,191,185,191
1,"(82.0,367.0)",0,1,12.566,190.000,190,190,190,190
1,"(162.0,243.0)",0,1,12.566,185.000,185,185,185,185
2763,"(1440.0,826.0)",0,314,0.352,71.505,68,77,23,109
7821,"(1408.0,311.0)",0,715,0.192,52.725,32,75,10,109
12,"(65.0,511.0)",0,12,1.047,189.333,186,192,185,195
1,"(1407.0,341.0)",0,1,12.566,186.000,186,186,186,186
2,"(198.0,212.0)",0,2,6.283,189.000,186,189,186,192
8,"(1037.0,97.0)",0,8,1.571,187.375,185,186,185,190
6,"(742.0,277.0)",0,6,2.094,188.500,187,188,186,191
1,"(1442.0,792.0)",0,1,12.566,185.000,185,185,185,185
2,"(161.0,237.0)",0,2,6.283,187.000,187,187,187,187
6,"(1448.0,314.0)",0,6,2.094,188.333,185,188,185,193
1,"(1033.0,112.0)",0,1,12.566,187.000,187,187,187,187
3,"(1211.0,505.0)",0,3,4.189,104.667,101,106,101,107
2123,"(1223.0,801.0)",0,207,0.623,56.624,44,59,32,109
1,"(77.0,375.0)",0,1,12.566,185.000,185,185,185,185
2781,"(194.0,246.0)",0,338,0.306,59.753,54,49,19,205
17,"(1457.0,797.0)",0,17,0.739,192.588,190,194,185,200
10,"(1383.0,239.0)",0,10,1.257,190.500,187,192,186,199
14,"(1406.0,1150.0)",0,12,1.222,84.571,108,69,56,108
2795,"(187.0,673.0)",0,344,0.297,73.362,73,85,21,109
6,"(1412.0,845.0)",0,6,2.094,189.333,189,187,185,192
9,"(81.0,499.0)",0,9,1.396,189.000,188,187,186,192
2,"(1552.0,462.0)",0,2,6.283,185.500,185,185,185,186
1,"(18.0,155.0)",0,1,12.566,186.000,186,186,186,186
1,"(202.0,1151.0)",0,1,12.566,185.000,185,185,185,185
30,"(382.0,50.0)",0,22,0.779,66.833,34,80,32,106
2,"(111.0,362.0)",0,2,6.283,189.000,188,189,188,190
2,"(1474.0,815.0)",0,2,6.283,186.500,186,186,186,187
3,"(1438.0,282.0)",0,3,4.189,193.333,190,196,190,196
2,"(1103.0,180.0)",0,2,6.283,186.000,185,186,185,187
1,"(1159.0,925.0)",0,1,12.566,185.000,185,185,185,185
1,"(103.0,498.0)",0,1,12.566,186.000,186,186,186,186
6,"(1088.0,1192.0)",0,6,2.094,95.833,97,90,81,109
7,"(63.0,521.0)",0,7,1.795,191.000,189,197,187,197
7,"(158.0,655.0)",0,7,1.795,99.429,103,103,87,109
3031,"(1035.0,57.0)",0,290,0.453,67.487,46,87,25,109
2709,"(40.0,133.0)",0,262,0.496,51.599,32,71,18,109
6381,"(90.0,421.0)",0,563,0.253,64.313,56,52,18,109
17,"(222.0,1165.0)",0,16,0.834,196.765,188,203,187,213
25,"(1439.0,331.0)",0,23,0.594,194.880,189,206,185,207
1,"(1439.0,1134.0)",0,1,12.566,106.000,106,106,106,106
2,"(1521.0,412.0)",0,2,6.283,185.000,185,185,185,185
2,"(781.0,616.0)",0,2,6.283,185.000,185,185,185,185
1682,"(818.0,624.0)",0,271,0.288,72.153,59,74,34,109
6,"(803.0,621.0)",0,0,Infinity,96.833,93,93,93,101
7,"(395.0,787.0)",0,7,1.795,189.714,189,189,186,193
10,"(192.0,210.0)",0,10,1.257,187.500,185,190,185,191
2,"(1026.0,828.0)",0,2,6.283,109.000,109,109,109,109
13,"(1120.0,910.0)",0,13,0.967,191.000,185,187,185,199
3,"(365.0,789.0)",0,3,4.189,106.000,104,106,104,108
1,"(1551.0,414.0)",0,1,12.566,188.000,188,188,188,188
14,"(63.0,534.0)",0,13,1.041,192.214,194,198,185,203
2,"(170.0,218.0)",0,2,6.283,185.000,185,185,185,185
3,"(181.0,212.0)",0,3,4.189,189.000,190,190,187,190
93,"(1150.0,1142.0)",0,52,0.432,33.269,7,100,4,108
2,"(866.0,879.0)",0,2,6.283,188.500,188,188,188,189
4,"(153.0,668.0)",0,4,3.142,106.750,107,107,105,108
1,"(46.0,98.0)",0,1,12.566,186.000,186,186,186,186
1,"(1125.0,867.0)",0,1,12.566,188.000,188,188,188,188
1,"(917.0,1080.0)",0,1,12.566,103.000,103,103,103,103
15,"(1080.0,1188.0)",0,14,0.962,94.000,109,87,75,109
11,"(1427.0,857.0)",0,11,1.142,188.000,186,186,185,191
5,"(890.0,844.0)",0,5,2.513,192.400,193,195,186,195
2,"(465.0,474.0)",0,2,6.283,187.500,187,187,187,188
11,"(814.0,626.0)",0,0,Infinity,104.545,107,95,95,109
1,"(1004.0,43.0)",0,1,12.566,188.000,188,188,188,188
15,"(328.0,771.0)",0,15,0.838,104.200,104,101,99,109
1,"(161.0,231.0)",0,1,12.566,186.000,186,186,186,186
1,"(181.0,640.0)",0,1,12.566,188.000,188,188,188,188
4,"(787.0,639.0)",0,4,3.142,186.750,186,186,186,188
6,"(910.0,847.0)",0,6,2.094,188.333,187,189,187,190
2,"(1002.0,71.0)",0,2,6.283,186.500,186,186,186,187
1,"(1163.0,199.0)",0,1,12.566,185.000,185,185,185,185
2,"(784.0,637.0)",0,2,6.283,188.000,187,188,187,189
1,"(168.0,220.0)",0,1,12.566,191.000,191,191,191,191
14,"(736.0,835.0)",0,13,1.041,77.214,65,75,55,107
1,"(70.0,133.0)",0,1,12.566,109.000,109,109,109,109
1,"(927.0,1080.0)",0,1,12.566,108.000,108,108,108,108
3069,"(1075.0,778.0)",0,246,0.637,80.361,74,77,59,109
24,"(77.0,411.0)",0,21,0.684,195.458,186,200,185,208
16,"(201.0,1142.0)",0,15,0.894,192.062,186,196,185,201
2632,"(94.0,528.0)",0,240,0.574,64.949,33,45,18,109
4,"(1014.0,31.0)",0,4,3.142,187.250,185,189,185,193
3,"(20.0,158.0)",0,3,4.189,186.000,185,188,185,188
7,"(795.0,598.0)",0,7,1.795,187.714,186,187,186,190
3006,"(1067.0,114.0)",0,304,0.409,65.061,61,64,19,109
1,"(24.0,161.0)",0,1,12.566,193.000,193,193,193,193
8,"(1160.0,868.0)",0,8,1.571,188.375,186,186,186,195
1,"(825.0,613.0)",0,0,Infinity,109.000,109,109,109,109
2,"(1154.0,177.0)",0,2,6.283,185.000,185,185,185,185
3,"(1451.0,447.0)",0,3,4.189,106.000,103,103,103,108
10,"(1470.0,810.0)",0,10,1.257,192.800,186,200,186,204
2,"(78.0,558.0)",0,2,6.283,185.500,185,185,185,186
3,"(21.0,103.0)",0,3,4.189,187.000,186,189,186,189
6,"(1456.0,449.0)",0,6,2.094,103.167,109,103,97,109
1,"(69.0,506.0)",0,1,12.566,185.000,185,185,185,185
6,"(132.0,512.0)",0,6,2.094,104.667,103,103,101,109
3,"(738.0,282.0)",0,3,4.189,187.000,188,188,185,188
9,"(1062.0,80.0)",0,9,1.396,190.667,193,189,187,194
1,"(200.0,1110.0)",0,1,12.566,193.000,193,193,193,193
1,"(48.0,475.0)",0,1,12.566,186.000,186,186,186,186
12,"(1415.0,277.0)",0,12,1.047,188.833,189,188,185,193
2,"(176.0,214.0)",0,2,6.283,191.500,188,191,188,195
2,"(39.0,425.0)",0,2,6.283,188.000,186,188,186,190
5,"(810.0,614.0)",0,0,Infinity,107.000,107,106,106,108
1,"(928.0,871.0)",0,1,12.566,185.000,185,185,185,185
2,"(25.0,163.0)",0,2,6.283,186.000,186,186,186,186
952,"(1167.0,1110.0)",0,952,0.013,7.597,8,7,5,20
1,"(752.0,305.0)",0,1,12.566,187.000,187,187,187,187
11,"(933.0,1085.0)",0,11,1.142,85.364,77,65,65,108
5,"(829.0,623.0)",0,0,Infinity,106.400,108,107,104,108
101,"(1188.0,1143.0)",0,100,0.127,21.792,12,97,4,108
1,"(1543.0,410.0)",0,1,12.566,185.000,185,185,185,185
2635,"(946.0,252.0)",0,250,0.530,60.276,66,50,18,109
2,"(785.0,606.0)",0,2,6.283,188.000,187,188,187,189
1,"(192.0,1124.0)",0,1,12.566,185.000,185,185,185,185
2671,"(898.0,875.0)",0,248,0.546,40.636,21,22,12,109
4,"(174.0,705.0)",0,4,3.142,189.000,185,188,185,194
13,"(75.0,398.0)",0,12,1.134,191.308,185,193,185,204
3,"(1411.0,1125.0)",0,3,4.189,104.333,101,101,101,109
2,"(1066.0,37.0)",0,2,6.283,185.500,185,185,185,186
11,"(36.0,464.0)",0,11,1.142,188.455,187,194,185,194
2796,"(776.0,289.0)",0,258,0.528,46.982,28,31,21,109
4,"(1054.0,27.0)",0,4,3.142,187.750,187,187,187,189
41,"(1193.0,829.0)",0,40,0.322,95.683,101,100,74,108
4,"(1006.0,40.0)",0,4,3.142,187.750,186,189,186,192
3,"(1448.0,298.0)",0,3,4.189,185.667,185,187,185,187
1,"(191.0,641.0)",0,1,12.566,108.000,108,108,108,108
2278,"(1146.0,893.0)",0,273,0.384,72.149,72,57,30,109
625,"(129.0,1192.0)",1,95,0.870,47.333,20,21,18,209
2,"(1466.0,800.0)",0,2,6.283,188.500,188,188,188,189
39,"(551.0,644.0)",0,38,0.339,92.333,89,94,75,108
30,"(1531.0,584.0)",0,26,0.558,96.333,95,77,76,109
1,"(800.0,594.0)",0,1,12.566,186.000,186,186,186,186
2869,"(845.0,325.0)",0,238,0.636,68.196,56,52,47,109
4097,"(237.0,1148.0)",0,423,0.288,64.117,63,55,27,109
6,"(1474.0,823.0)",0,6,2.094,189.833,185,191,185,194
1,"(72.0,553.0)",0,1,12.566,185.000,185,185,185,185
4,"(739.0,812.0)",0,4,3.142,108.500,108,108,108,109
44,"(1125.0,1141.0)",0,44,0.286,16.591,7,7,4,96
1,"(1418.0,854.0)",0,1,12.566,185.000,185,185,185,185
5,"(480.0,525.0)",0,5,2.513,188.200,185,190,185,191
2,"(201.0,1108.0)",0,2,6.283,191.500,189,191,189,194
24,"(63.0,412.0)",0,24,0.524,187.583,186,189,185,191
64,"(1171.0,1145.0)",0,63,0.203,18.578,11,56,4,106
2,"(1151.0,898.0)",0,0,Infinity,188.000,188,188,188,188
5,"(387.0,838.0)",0,5,2.513,189.000,185,186,185,196
1,"(815.0,621.0)",0,0,Infinity,107.000,107,107,107,107
1,"(360.0,792.0)",0,1,12.566,109.000,109,109,109,109
1,"(1216.0,774.0)",0,1,12.566,185.000,185,185,185,185
1,"(165.0,222.0)",0,1,12.566,185.000,185,185,185,185
2,"(172.0,216.0)",0,2,6.283,186.500,186,186,186,187
4,"(194.0,1116.0)",0,4,3.142,185.250,185,185,185,186
1,"(193.0,1120.0)",0,1,12.566,187.000,187,187,187,187
1558,"(726.0,792.0)",0,216,0.420,91.906,106,101,59,109
1,"(866.0,869.0)",0,1,12.566,185.000,185,185,185,185
1,"(1043.0,22.0)",0,1,12.566,185.000,185,185,185,185
1,"(362.0,793.0)",0,1,12.566,109.000,109,109,109,109
